"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2024","2,148.29","2,127.95","2,152.29","2,123.65","","0.98%"
"03/05/2024","2,127.55","2,115.15","2,142.15","2,110.52","","0.59%"
"03/04/2024","2,114.99","2,082.09","2,119.95","2,079.45","","1.52%"
"03/01/2024","2,083.39","2,043.44","2,088.40","2,038.55","","1.96%"
"02/29/2024","2,043.24","2,034.92","2,050.79","2,027.75","","0.42%"
"02/28/2024","2,034.62","2,030.05","2,038.30","2,024.56","","0.25%"
"02/27/2024","2,029.64","2,030.99","2,039.99","2,028.78","","-0.05%"
"02/26/2024","2,030.66","2,034.49","2,037.59","2,025.10","","-0.25%"
"02/23/2024","2,035.72","2,024.49","2,041.43","2,015.55","","0.57%"
"02/22/2024","2,024.11","2,025.24","2,034.84","2,019.70","","-0.04%"
"02/21/2024","2,024.99","2,023.80","2,032.22","2,020.19","","0.07%"
"02/20/2024","2,023.53","2,017.99","2,030.96","2,015.02","","0.29%"
"02/19/2024","2,017.63","2,013.16","2,023.34","2,011.57","","0.22%"
"02/16/2024","2,013.10","2,004.40","2,015.25","1,995.26","","0.45%"
"02/15/2024","2,004.09","1,992.69","2,008.49","1,990.25","","0.59%"
"02/14/2024","1,992.39","1,992.55","1,996.14","1,984.30","","0.01%"
"02/13/2024","1,992.13","2,019.90","2,030.05","1,990.19","","-1.37%"
"02/12/2024","2,019.79","2,024.53","2,028.09","2,011.91","","-0.22%"
"02/09/2024","2,024.16","2,033.65","2,037.44","2,020.30","","-0.44%"
"02/08/2024","2,033.18","2,034.55","2,038.94","2,019.75","","-0.05%"
"02/07/2024","2,034.22","2,035.90","2,044.65","2,030.65","","-0.06%"
"02/06/2024","2,035.46","2,024.99","2,039.02","2,022.55","","0.53%"
"02/05/2024","2,024.67","2,039.91","2,042.32","2,014.40","","-0.68%"
"02/02/2024","2,038.59","2,055.09","2,058.20","2,027.45","","-0.75%"
"02/01/2024","2,054.09","2,037.59","2,065.42","2,029.55","","0.83%"
"01/31/2024","2,037.19","2,036.58","2,056.08","2,031.00","","0.05%"
"01/30/2024","2,036.12","2,031.97","2,048.48","2,029.19","","0.21%"
"01/29/2024","2,031.75","2,019.40","2,037.75","2,017.38","","0.66%"
"01/26/2024","2,018.34","2,019.94","2,026.80","2,015.97","","-0.07%"
"01/25/2024","2,019.75","2,012.84","2,025.27","2,010.15","","0.36%"
"01/24/2024","2,012.59","2,028.94","2,036.74","2,011.28","","-0.74%"
"01/23/2024","2,027.68","2,021.24","2,037.92","2,019.59","","0.38%"
"01/22/2024","2,020.09","2,029.90","2,032.28","2,016.74","","-0.44%"
"01/19/2024","2,029.09","2,023.05","2,039.49","2,020.37","","0.32%"
"01/18/2024","2,022.67","2,006.09","2,023.45","2,005.43","","0.85%"
"01/17/2024","2,005.72","2,027.90","2,033.05","2,001.91","","-1.08%"
"01/16/2024","2,027.59","2,054.91","2,055.65","2,024.29","","-1.31%"
"01/15/2024","2,054.49","2,048.09","2,059.25","2,045.80","","0.28%"
"01/12/2024","2,048.72","2,028.30","2,062.35","2,027.99","","1.02%"
"01/11/2024","2,028.09","2,023.74","2,039.69","2,013.32","","0.23%"
"01/10/2024","2,023.40","2,029.94","2,040.44","2,020.45","","-0.31%"
"01/09/2024","2,029.59","2,028.40","2,042.09","2,026.11","","0.09%"
"01/08/2024","2,027.84","2,044.08","2,046.71","2,016.84","","-0.86%"
"01/05/2024","2,045.50","2,043.69","2,064.03","2,024.49","","0.11%"
"01/04/2024","2,043.26","2,041.34","2,051.40","2,036.24","","0.15%"
"01/03/2024","2,040.19","2,059.15","2,066.12","2,030.68","","-0.89%"
"01/02/2024","2,058.51","2,062.90","2,079.02","2,056.04","","-0.26%"
"01/01/2024","2,063.80","2,064.24","2,074.90","2,063.30","","0.06%"
